"Unknown_green_algae_filaments" "Amelotopsis_perscitus"
"Epithemia_zebra" "Oligochaeta_type_II"
"Eunotia_spp." "Oligochaeta_type_II"
"Fragilaria_spp." "Oligochaeta_type_II"
"Gomphoneis_herculeana" "Oligochaeta_type_II"
"Gomphonema_angustatum" "Oligochaeta_type_II"
"Gomphonema_sp." "Oligochaeta_type_II"
"Melosira_italica/distans" "Oligochaeta_type_II"
"Melosira_varians" "Oligochaeta_type_II"
"Meridion_circulare" "Oligochaeta_type_II"
"Navicula_cryptocephala" "Oligochaeta_type_II"
"Pinnularia_sp._(large)" "Oligochaeta_type_II"
"Oligochaeta_type_II" "Scenedesmus_sp."
"Tabellaria_flocculosa" "Oligochaeta_type_II"
"Unidentifiable_detritus" "Olinga_feredayi"
"Plant_(macrophyte)_cells" "Olinga_feredayi"
"Acnanthidium_lanceolata" "Olinga_feredayi"
"Acnanthidium_linearis" "Olinga_feredayi"
"Cocconeis_sp." "Olinga_feredayi"
"Cyclotella_sp." "Olinga_feredayi"
"Cymbella_aspera" "Olinga_feredayi"
"Cymbella_minuta" "Olinga_feredayi"
"Diatoma_heimale" "Olinga_feredayi"
"Epithemia_sorex" "Olinga_feredayi"
"Eunotia_spp." "Olinga_feredayi"
"Fragilaria_vaucheriae" "Olinga_feredayi"
"Olinga_feredayi" "Frustulia_rhomboides"
"Gomphoneis_herculeana" "Olinga_feredayi"
"Gomphonema_sp." "Olinga_feredayi"
"Gomphonema_subclavatum" "Olinga_feredayi"
"Melosira_varians" "Olinga_feredayi"
"Navicula_avenacea" "Olinga_feredayi"
"Navicula_cryptocephala" "Olinga_feredayi"
"Olinga_feredayi" "Navicula_rhynchocephala"
"Nitzschia_sp._(large)" "Olinga_feredayi"
"Olinga_feredayi" "Nitzschia_sp._(small)"
"Pinnularia_mesoleptus" "Olinga_feredayi"
"Rhoicosphenia_curvata" "Olinga_feredayi"
"Olinga_feredayi" "Rhopalodia_novae_zelandicae"
"Surirella_sp." "Olinga_feredayi"
"Synedra_ulna" "Olinga_feredayi"
"Tabellaria_flocculosa" "Olinga_feredayi"
"Oniscigaster_sp." "Unidentifiable_detritus"
"Oniscigaster_sp." "Plant_(macrophyte)_cells"
"Oniscigaster_sp." "Acnanthidium_lanceolata"
"Oniscigaster_sp." "Acnanthidium_linearis"
"Oniscigaster_sp." "Acnanthidium_minutissima"
"Oniscigaster_sp." "Acnanthidium_saxonica"
"Oniscigaster_sp." "Blue_green_algae_spp."
"Oniscigaster_sp." "Cocconeis_sp."
"Oniscigaster_sp." "Cyclotella_sp."
"Oniscigaster_sp." "Cymbella_kappii"
"Oniscigaster_sp." "Cymbella_minuta"
"Oniscigaster_sp." "Diatoma_heimale"
"Oniscigaster_sp." "Epithemia_sorex"
"Oniscigaster_sp." "Eunotia_spp."
"Oniscigaster_sp." "Fragilaria_spp."
"Oniscigaster_sp." "Fragilaria_vaucheriae"
"Oniscigaster_sp." "Gomphoneis_herculeana"
"Oniscigaster_sp." "Gomphonema_angustatum"
"Oniscigaster_sp." "Gomphonema_berggreni"
"Oniscigaster_sp." "Gomphonema_subclavatum"
"Oniscigaster_sp." "Melosira_italica/distans"
"Oniscigaster_sp." "Navicula_avenacea"
"Oniscigaster_sp." "Navicula_rhynchocephala"
"Oniscigaster_sp." "Nitzschia_sp._(small)"
"Oniscigaster_sp." "Pinnularia_mesoleptus"
"Oniscigaster_sp." "Rhoicosphenia_curvata"
"Oniscigaster_sp." "Synedra_rumpens"
"Oniscigaster_sp." "Synedra_ulna"
"Oniscigaster_sp." "Tabellaria_flocculosa"
"Unidentifiable_detritus" "Orychmontia_sp."
"Plant_(macrophyte)_cells" "Orychmontia_sp."
"Acnanthidium_lanceolata" "Orychmontia_sp."
"Cocconeis_sp." "Orychmontia_sp."
"Cyclotella_sp." "Orychmontia_sp."
"Cymbella_minuta" "Orychmontia_sp."
"Epithemia_sorex" "Orychmontia_sp."
"Eunotia_spp." "Orychmontia_sp."
"Fragilaria_spp." "Orychmontia_sp."
"Gomphonema_angustatum" "Orychmontia_sp."
"Melosira_italica/distans" "Orychmontia_sp."
"Meridion_circulare" "Orychmontia_sp."
"Navicula_avenacea" "Orychmontia_sp."
"Navicula_cryptocephala" "Orychmontia_sp."
"Nitzschia_sp._(large)" "Orychmontia_sp."
"Rhoicosphenia_curvata" "Orychmontia_sp."
"Surirella_sp." "Orychmontia_sp."
"Synedra_ulna" "Orychmontia_sp."
"Tabellaria_flocculosa" "Orychmontia_sp."
"Deleatidium_spp." "Orychmontia_sp."
"Terrestial_invertebrates" "Philorheithrus_agilis"
"Philorheithrus_agilis" "Nesameletus_ornatus"
"Philorheithrus_agilis" "Tiphobiosis_sp."
"Unidentifiable_detritus" "Podaena_sp."
"Plant_(macrophyte)_cells" "Podaena_sp."
"Cocconeis_sp." "Podaena_sp."
"Cyclotella_sp." "Podaena_sp."
"Epithemia_sorex" "Podaena_sp."
"Eunotia_spp." "Podaena_sp."
"Fragilaria_spp." "Podaena_sp."
"Frustulia_rhomboides" "Podaena_sp."
"Gomphonema_angustatum" "Podaena_sp."
"Gomphonema_sp." "Podaena_sp."
"Melosira_italica/distans" "Podaena_sp."
"Navicula_avenacea" "Podaena_sp."
"Navicula_rhynchocephala" "Podaena_sp."
"Navicula_sp." "Podaena_sp."
"Nitzschia_sp._(large)" "Podaena_sp."
"Pinnularia_sp._(large)" "Podaena_sp."
"Rhoicosphenia_curvata" "Podaena_sp."
"Rhopalodia_novae_zelandicae" "Podaena_sp."
"Surirella_sp." "Podaena_sp."
"Tabellaria_flocculosa" "Podaena_sp."
"Terrestial_invertebrates" "Polyplectropus_puerilis"
"Aoteapsyche_spp." "Polyplectropus_puerilis"
"Cricotopus_II" "Polyplectropus_puerilis"
"Tanytarsini" "Polyplectropus_puerilis"
"Unidentifiable_detritus" "Potamopyrgus_antipodarum"
"Acnanthidium_lanceolata" "Potamopyrgus_antipodarum"
"Acnanthidium_saxonica" "Potamopyrgus_antipodarum"
"Cocconeis_sp." "Potamopyrgus_antipodarum"
"Cyclotella_sp." "Potamopyrgus_antipodarum"
"Cymbella_kappii" "Potamopyrgus_antipodarum"
"Cymbella_minuta" "Potamopyrgus_antipodarum"
"Epithemia_sorex" "Potamopyrgus_antipodarum"
"Epithemia_zebra" "Potamopyrgus_antipodarum"
"Fragilaria_spp." "Potamopyrgus_antipodarum"
"Fragilaria_vaucheriae" "Potamopyrgus_antipodarum"
"Gomphoneis_herculeana" "Potamopyrgus_antipodarum"
"Gomphonema_angustatum" "Potamopyrgus_antipodarum"
"Gomphonema_sp." "Potamopyrgus_antipodarum"
"Melosira_varians" "Potamopyrgus_antipodarum"
"Navicula_avenacea" "Potamopyrgus_antipodarum"
"Navicula_rhynchocephala" "Potamopyrgus_antipodarum"
"Nitzschia_sp._(small)" "Potamopyrgus_antipodarum"
"Rhoicosphenia_curvata" "Potamopyrgus_antipodarum"
"Surirella_sp." "Potamopyrgus_antipodarum"
"Synedra_ulna" "Potamopyrgus_antipodarum"
"Tabellaria_flocculosa" "Potamopyrgus_antipodarum"
"Deleatidium_spp." "Potamopyrgus_antipodarum"
"Nesameletus_ornatus" "Potamopyrgus_antipodarum"
"Naonella" "Psilachorema_bidens"
"Deleatidium_spp." "Psilachorema_bidens"
"Unidentifiable_detritus" "Pycnocentria_sp."
"Plant_(macrophyte)_cells" "Pycnocentria_sp."
"Acnanthidium_lanceolata" "Pycnocentria_sp."
"Acnanthidium_linearis" "Pycnocentria_sp."
"Acnanthidium_minutissima" "Pycnocentria_sp."
"Acnanthidium_saxonica" "Pycnocentria_sp."
"Audouinella_sp." "Pycnocentria_sp."
"Blue_green_algae_spp." "Pycnocentria_sp."
"Cocconeis_sp." "Pycnocentria_sp."
"Cyclotella_sp." "Pycnocentria_sp."
"Cymbella_kappii" "Pycnocentria_sp."
"Cymbella_minuta" "Pycnocentria_sp."
"Diatoma_heimale" "Pycnocentria_sp."
"Epithemia_zebra" "Pycnocentria_sp."
"Fragilaria_spp." "Pycnocentria_sp."
"Fragilaria_vaucheriae" "Pycnocentria_sp."
"Gomphoneis_herculeana" "Pycnocentria_sp."
"Gomphonema_angustatum" "Pycnocentria_sp."
"Gomphonema_subclavatum" "Pycnocentria_sp."
"Melosira_italica/distans" "Pycnocentria_sp."
"Melosira_varians" "Pycnocentria_sp."
"Navicula_avenacea" "Pycnocentria_sp."
"Navicula_cryptocephala" "Pycnocentria_sp."
"Nitzschia_sp._(large)" "Pycnocentria_sp."
"Nitzschia_sp._(small)" "Pycnocentria_sp."
"Rhoicosphenia_curvata" "Pycnocentria_sp."
"Scenedesmus_sp." "Pycnocentria_sp."
"Synedra_ulna" "Pycnocentria_sp."
"Tabellaria_flocculosa" "Pycnocentria_sp."
"Pirara" "Pycnocentria_sp."
"Nesameletus_ornatus" "Pycnocentria_sp."
"Oligochaeta_type_II" "Pycnocentria_sp."
"Unidentifiable_detritus" "Pycnocentrodes_spp."
"Plant_(macrophyte)_cells" "Pycnocentrodes_spp."
"Acnanthidium_lanceolata" "Pycnocentrodes_spp."
"Acnanthidium_linearis" "Pycnocentrodes_spp."
"Pycnocentrodes_spp." "Acnanthidium_minutissima"
"Pycnocentrodes_spp." "Acnanthidium_saxonica"
"Pycnocentrodes_spp." "Audouinella_sp."
"Pycnocentrodes_spp." "Blue_green_algae_spp."
"Cocconeis_sp." "Pycnocentrodes_spp."
"Cyclotella_sp." "Pycnocentrodes_spp."
"Pycnocentrodes_spp." "Cymbella_kappii"
"Cymbella_minuta" "Pycnocentrodes_spp."
"Diatoma_heimale" "Pycnocentrodes_spp."
"Epithemia_zebra" "Pycnocentrodes_spp."
"Fragilaria_spp." "Pycnocentrodes_spp."
"Fragilaria_vaucheriae" "Pycnocentrodes_spp."
"Gomphoneis_herculeana" "Pycnocentrodes_spp."
"Gomphonema_angustatum" "Pycnocentrodes_spp."
"Gomphonema_subclavatum" "Pycnocentrodes_spp."
"Melosira_italica/distans" "Pycnocentrodes_spp."
"Melosira_varians" "Pycnocentrodes_spp."
"Navicula_avenacea" "Pycnocentrodes_spp."
"Navicula_cryptocephala" "Pycnocentrodes_spp."
"Nitzschia_sp._(large)" "Pycnocentrodes_spp."
"Pycnocentrodes_spp." "Nitzschia_sp._(small)"
"Rhoicosphenia_curvata" "Pycnocentrodes_spp."
"Pycnocentrodes_spp." "Scenedesmus_sp."
"Synedra_ulna" "Pycnocentrodes_spp."
"Tabellaria_flocculosa" "Pycnocentrodes_spp."
"Pirara" "Pycnocentrodes_spp."
"Pycnocentrodes_spp." "Nesameletus_ornatus"
"Pycnocentrodes_spp." "Oligochaeta_type_II"
"Unidentifiable_detritus" "Scirtid_broad"
"Plant_(macrophyte)_cells" "Scirtid_broad"
"Cocconeis_sp." "Scirtid_broad"
"Cyclotella_sp." "Scirtid_broad"
"Epithemia_sorex" "Scirtid_broad"
"Eunotia_spp." "Scirtid_broad"
"Fragilaria_spp." "Scirtid_broad"
"Frustulia_rhomboides" "Scirtid_broad"
"Gomphonema_angustatum" "Scirtid_broad"
"Gomphonema_sp." "Scirtid_broad"
"Melosira_italica/distans" "Scirtid_broad"
"Navicula_avenacea" "Scirtid_broad"
"Navicula_rhynchocephala" "Scirtid_broad"
"Navicula_sp." "Scirtid_broad"
"Nitzschia_sp._(large)" "Scirtid_broad"
"Pinnularia_sp._(large)" "Scirtid_broad"
"Rhoicosphenia_curvata" "Scirtid_broad"
"Rhopalodia_novae_zelandicae" "Scirtid_broad"
"Surirella_sp." "Scirtid_broad"
"Tabellaria_flocculosa" "Scirtid_broad"
"Terrestial_invertebrates" "Stenoperla_prasinia"
"Aoteapsyche_spp." "Stenoperla_prasinia"
"Naonella" "Stenoperla_prasinia"
"Eukiefiriella" "Stenoperla_prasinia"
"Costachorema_xanthoptera" "Stenoperla_prasinia"
"Stenoperla_prasinia" "Megaleptoperla_sp."
"Stenoperla_prasinia" "Nesameletus_ornatus"
"Oniscigaster_sp." "Stenoperla_prasinia"
"Unidentifiable_detritus" "Tanyderidae_sp."
"Plant_(macrophyte)_cells" "Tanyderidae_sp."
"Acnanthidium_lanceolata" "Tanyderidae_sp."
"Acnanthidium_linearis" "Tanyderidae_sp."
"Cocconeis_sp." "Tanyderidae_sp."
"Cyclotella_sp." "Tanyderidae_sp."
"Cymbella_aspera" "Tanyderidae_sp."
"Cymbella_cuspidata" "Tanyderidae_sp."
"Cymbella_minuta" "Tanyderidae_sp."
"Diatoma_heimale" "Tanyderidae_sp."
"Epithemia_sorex" "Tanyderidae_sp."
"Epithemia_zebra" "Tanyderidae_sp."
"Eunotia_spp." "Tanyderidae_sp."
"Fragilaria_spp." "Tanyderidae_sp."
"Fragilaria_vaucheriae" "Tanyderidae_sp."
"Gomphoneis_herculeana" "Tanyderidae_sp."
"Gomphonema_angustatum" "Tanyderidae_sp."
"Gomphonema_sp." "Tanyderidae_sp."
"Gomphonema_subclavatum" "Tanyderidae_sp."
"Melosira_italica/distans" "Tanyderidae_sp."
"Melosira_varians" "Tanyderidae_sp."
"Navicula_avenacea" "Tanyderidae_sp."
"Navicula_cryptocephala" "Tanyderidae_sp."
"Nitzschia_sp._(large)" "Tanyderidae_sp."
"Pinnularia_mesoleptus" "Tanyderidae_sp."
"Pinnularia_sp._(large)" "Tanyderidae_sp."
"Rhoicosphenia_curvata" "Tanyderidae_sp."
"Surirella_sp." "Tanyderidae_sp."
"Synedra_ulna" "Tanyderidae_sp."
"Tabellaria_flocculosa" "Tanyderidae_sp."
"Terrestial_invertebrates" "Tanyderidae_sp."
"Naonella" "Tanyderidae_sp."
"Eukiefiriella" "Tanyderidae_sp."
"Deleatidium_spp." "Tanyderidae_sp."
"Terrestial_invertebrates" "Tiphobiosis_sp."
"Tiphobiosis_sp." "Nesameletus_ornatus"
"Unidentifiable_detritus" "Zealandoperla_sp."
"Plant_(macrophyte)_cells" "Zealandoperla_sp."
"Acnanthidium_lanceolata" "Zealandoperla_sp."
"Acnanthidium_linearis" "Zealandoperla_sp."
"Zealandoperla_sp." "Audouinella_sp."
"Zealandoperla_sp." "Blue_green_algae_spp."
"Cocconeis_sp." "Zealandoperla_sp."
"Cyclotella_sp." "Zealandoperla_sp."
"Zealandoperla_sp." "Cymbella_kappii"
"Cymbella_minuta" "Zealandoperla_sp."
"Epithemia_sorex" "Zealandoperla_sp."
"Eunotia_spp." "Zealandoperla_sp."
"Fragilaria_vaucheriae" "Zealandoperla_sp."
"Zealandoperla_sp." "Frustulia_rhomboides"
"Gomphoneis_herculeana" "Zealandoperla_sp."
"Zealandoperla_sp." "Gomphonema_parvulum"
"Gomphonema_subclavatum" "Zealandoperla_sp."
"Melosira_italica/distans" "Zealandoperla_sp."
"Melosira_varians" "Zealandoperla_sp."
"Zealandoperla_sp." "Meridion_circulare"
"Navicula_avenacea" "Zealandoperla_sp."
"Navicula_cryptocephala" "Zealandoperla_sp."
"Nitzschia_sp._(large)" "Zealandoperla_sp."
"Zealandoperla_sp." "Nitzschia_sp._(small)"
"Pinnularia_mesoleptus" "Zealandoperla_sp."
"Pinnularia_sp._(large)" "Zealandoperla_sp."
"Zealandoperla_sp." "Rhopalodia_novae_zelandicae"
"Surirella_sp." "Zealandoperla_sp."
"Synedra_ulna" "Zealandoperla_sp."
"Tabellaria_flocculosa" "Zealandoperla_sp."
"Deleatidium_spp." "Zealandoperla_sp."
"Unidentifiable_detritus" "Zephlebia_spectabilis"
"Plant_(macrophyte)_cells" "Zephlebia_spectabilis"
"Acnanthidium_lanceolata" "Zephlebia_spectabilis"
"Acnanthidium_linearis" "Zephlebia_spectabilis"
"Acnanthidium_minutissima" "Zephlebia_spectabilis"
"Cocconeis_sp." "Zephlebia_spectabilis"
"Cyclotella_sp." "Zephlebia_spectabilis"
"Cymbella_aspera" "Zephlebia_spectabilis"
"Cymbella_kappii" "Zephlebia_spectabilis"
"Cymbella_minuta" "Zephlebia_spectabilis"
"Diatoma_heimale" "Zephlebia_spectabilis"
"Epithemia_sorex" "Zephlebia_spectabilis"
"Epithemia_zebra" "Zephlebia_spectabilis"
"Eunotia_spp." "Zephlebia_spectabilis"
"Fragilaria_spp." "Zephlebia_spectabilis"
"Fragilaria_vaucheriae" "Zephlebia_spectabilis"
"Frustulia_rhomboides" "Zephlebia_spectabilis"
"Gomphoneis_herculeana" "Zephlebia_spectabilis"
"Gomphonema_angustatum" "Zephlebia_spectabilis"
"Gomphonema_berggreni" "Zephlebia_spectabilis"
"Gomphonema_parvulum" "Zephlebia_spectabilis"
"Gomphonema_subclavatum" "Zephlebia_spectabilis"
"Melosira_italica/distans" "Zephlebia_spectabilis"
"Melosira_varians" "Zephlebia_spectabilis"
"Meridion_circulare" "Zephlebia_spectabilis"
"Navicula_avenacea" "Zephlebia_spectabilis"
"Navicula_cryptocephala" "Zephlebia_spectabilis"
"Nitzschia_sp._(large)" "Zephlebia_spectabilis"
"Nitzschia_sp._(small)" "Zephlebia_spectabilis"
"Pinnularia_mesoleptus" "Zephlebia_spectabilis"
"Pinnularia_sp._(large)" "Zephlebia_spectabilis"
"Rhoicosphenia_curvata" "Zephlebia_spectabilis"
"Rhopalodia_novae_zelandicae" "Zephlebia_spectabilis"
"Surirella_sp." "Zephlebia_spectabilis"
"Synedra_ulna" "Zephlebia_spectabilis"
"Tabellaria_flocculosa" "Zephlebia_spectabilis"
"Austrosimulium_australense" "Zephlebia_spectabilis"
"Deleatidium_spp." "Zephlebia_spectabilis"
"Olinga_feredayi" "Zephlebia_spectabilis"
"Terrestial_invertebrates" "Anguilla_dieffenbachii"
"Amelotopsis_perscitus" "Anguilla_dieffenbachii"
"Aoteapsyche_spp." "Anguilla_dieffenbachii"
"Larsia_II" "Anguilla_dieffenbachii"
"Coloburiscus_humeralis" "Anguilla_dieffenbachii"
"Deleatidium_spp." "Anguilla_dieffenbachii"
"Helicopsyche_albescens" "Anguilla_dieffenbachii"
"Hydrobiosis_parumbripennis" "Anguilla_dieffenbachii"
"Olinga_feredayi" "Anguilla_dieffenbachii"
"Potamopyrgus_antipodarum" "Anguilla_dieffenbachii"
"Pycnocentrodes_spp." "Anguilla_dieffenbachii"
"Zephlebia_spectabilis" "Anguilla_dieffenbachii"
"Aoteapsyche_spp." "Galaxias_depressiceps"
"Aphrophila_noevaezelandiae" "Galaxias_depressiceps"
"Naonella" "Galaxias_depressiceps"
"Pirara" "Galaxias_depressiceps"
"Cricotopus_II" "Galaxias_depressiceps"
"Coloburiscus_humeralis" "Galaxias_depressiceps"
"Deleatidium_spp." "Galaxias_depressiceps"
"Hydora_nitida_(adult)" "Galaxias_depressiceps"
"Hydrobiosis_parumbripennis" "Galaxias_depressiceps"
"Hydrobiosis_type_'Black_Pronotum'" "Galaxias_depressiceps"
"Psilachorema_bidens" "Galaxias_depressiceps"
"Pycnocentrodes_spp." "Galaxias_depressiceps"
"Terrestial_invertebrates" "Gobiomorphus_breviceps"
"Amelotopsis_perscitus" "Gobiomorphus_breviceps"
"Aoteapsyche_spp." "Gobiomorphus_breviceps"
"Aphrophila_noevaezelandiae" "Gobiomorphus_breviceps"
"Larsia_II" "Gobiomorphus_breviceps"
"Naonella" "Gobiomorphus_breviceps"
"Eukiefiriella" "Gobiomorphus_breviceps"
"Tanytarsini_II" "Gobiomorphus_breviceps"
"Pirara" "Gobiomorphus_breviceps"
"Cricotopus_II" "Gobiomorphus_breviceps"
"Tanypodini" "Gobiomorphus_breviceps"
"Tanytarsini" "Gobiomorphus_breviceps"
"Costachorema_xanthoptera" "Gobiomorphus_breviceps"
"Deleatidium_spp." "Gobiomorphus_breviceps"
"Hydrobiosis_parumbripennis" "Gobiomorphus_breviceps"
"Hydrobiosis_type_'Black_Pronotum'" "Gobiomorphus_breviceps"
"Nesameletus_ornatus" "Gobiomorphus_breviceps"
"Polyplectropus_puerilis" "Gobiomorphus_breviceps"
"Potamopyrgus_antipodarum" "Gobiomorphus_breviceps"
"Psilachorema_bidens" "Gobiomorphus_breviceps"
"Pycnocentrodes_spp." "Gobiomorphus_breviceps"
"Scirtid_broad" "Gobiomorphus_breviceps"
"Stenoperla_prasinia" "Gobiomorphus_breviceps"
"Tanyderidae_sp." "Gobiomorphus_breviceps"
"Zephlebia_spectabilis" "Gobiomorphus_breviceps"
"Atalophlebioides_cromwelli" "Paranephrops_zealandicus"
"Baraeoptera_roria" "Paranephrops_zealandicus"
"Coloburiscus_humeralis" "Paranephrops_zealandicus"
"Helicopsyche_albescens" "Paranephrops_zealandicus"
"Hydora_nitida_(larva)" "Paranephrops_zealandicus"
"Philorheithrus_agilis" "Paranephrops_zealandicus"
"Pycnocentrodes_spp." "Paranephrops_zealandicus"
"Terrestial_invertebrates" "Salmo_trutta"
"Amelotopsis_perscitus" "Salmo_trutta"
"Aoteapsyche_spp." "Salmo_trutta"
"Aphrophila_noevaezelandiae" "Salmo_trutta"
"Archichauliodes_diversus" "Salmo_trutta"
"Atalophlebioides_cromwelli" "Salmo_trutta"
"Austroclima_jollyae" "Salmo_trutta"
"Baraeoptera_roria" "Salmo_trutta"
"Naonella" "Salmo_trutta"
"Maoridiamesea" "Salmo_trutta"
"Pirara" "Salmo_trutta"
"Cricotopus_II" "Salmo_trutta"
"Tanytarsini" "Salmo_trutta"
"Coloburiscus_humeralis" "Salmo_trutta"
"Costachorema_xanthoptera" "Salmo_trutta"
"Deleatidium_spp." "Salmo_trutta"
"Hydora_nitida_(adult)" "Salmo_trutta"
"Hydrobiosis_parumbripennis" "Salmo_trutta"
"Hydrobiosis_type_'Black_Pronotum'" "Salmo_trutta"
"Nesameletus_ornatus" "Salmo_trutta"
"Potamopyrgus_antipodarum" "Salmo_trutta"
"Psilachorema_bidens" "Salmo_trutta"
"Pycnocentrodes_spp." "Salmo_trutta"
"Stenoperla_prasinia" "Salmo_trutta"
"Zealandoperla_sp." "Salmo_trutta"
"Zephlebia_spectabilis" "Salmo_trutta"
